,month_normalized,time_idx,value,static,date
698,13,34,277.6,2,2014-11-30
699,13,35,278.5,2,2014-12-01
700,13,36,285.75,2,2014-12-02
701,13,37,279.5,2,2014-12-03
702,13,38,280.05,2,2014-12-04
703,13,39,278.03,2,2014-12-05
704,13,40,277.01,2,2014-12-06
705,13,41,277.19,2,2014-12-07
706,13,42,279.9,2,2014-12-08
707,13,43,277.51,2,2014-12-09
708,13,44,274.37,2,2014-12-10
709,13,45,276.96,2,2014-12-11
710,13,46,274.93,2,2014-12-12
711,13,47,278.89,2,2014-12-13
712,13,48,281.07,2,2014-12-14
713,13,49,276.02,2,2014-12-15
714,13,50,271.44,2,2014-12-16
715,13,51,276.28,2,2014-12-17
716,13,52,276.87,2,2014-12-18
717,13,53,281.0,2,2014-12-19
718,13,54,279.03,2,2014-12-20
719,14,0,278.76,2,2014-12-21
720,14,1,272.72,2,2014-12-22
721,14,2,268.15,2,2014-12-23
722,14,3,283.08,2,2014-12-24
723,14,4,271.44,2,2014-12-25
724,14,5,267.9,2,2014-12-26
725,14,6,266.34,2,2014-12-27
726,14,7,265.9,2,2014-12-28
727,14,8,266.68,2,2014-12-29
728,14,9,265.33,2,2014-12-30
729,14,10,269.02,2,2014-12-31
730,14,11,274.47,2,2015-01-01
